"job_id","industry_id","skills_id","title_id","company_id","website_id","description_id"
"LI1","IN1","SK1","TI1","CO1","WS1","D1"
"LI1","IN1","SK2","TI1","CO1","WS1","D1"
"LI1","IN1","SK3","TI1","CO1","WS1","D1"
"LI1","IN1","SK4","TI1","CO1","WS1","D1"
"LI1","IN1","SK5","TI1","CO1","WS1","D1"
"LI1","IN1","SK6","TI1","CO1","WS1","D1"
"LI1","IN1","SK7","TI1","CO1","WS1","D1"
"LI1","IN1","SK8","TI1","CO1","WS1","D1"
"LI1","IN1","SK9","TI1","CO1","WS1","D1"
"LI1","IN1","SK10","TI1","CO1","WS1","D1"
"LI2","IN2","SK1","TI1","CO1","WS1","D1"
"LI2","IN2","SK11","TI1","CO1","WS1","D1"
"LI2","IN2","SK12","TI1","CO1","WS1","D1"
"LI2","IN2","SK13","TI1","CO1","WS1","D1"
"LI2","IN2","SK14","TI1","CO1","WS1","D1"
"LI2","IN2","SK15","TI1","CO1","WS1","D1"
"LI2","IN2","SK6","TI1","CO1","WS1","D1"
"LI2","IN2","SK16","TI1","CO1","WS1","D1"
"LI2","IN2","SK17","TI1","CO1","WS1","D1"
"LI2","IN2","SK18","TI1","CO1","WS1","D1"
"LI2","IN2","SK19","TI1","CO1","WS1","D1"
"LI3","IN3","SK1","TI2","CO1","WS1","D1"
"LI3","IN3","SK11","TI2","CO1","WS1","D1"
"LI3","IN3","SK20","TI2","CO1","WS1","D1"
"LI3","IN3","SK21","TI2","CO1","WS1","D1"
"LI3","IN3","SK6","TI2","CO1","WS1","D1"
"LI3","IN3","SK22","TI2","CO1","WS1","D1"
"LI3","IN3","SK23","TI2","CO1","WS1","D1"
"LI3","IN3","SK24","TI2","CO1","WS1","D1"
"LI3","IN3","SK25","TI2","CO1","WS1","D1"
"LI3","IN3","SK26","TI2","CO1","WS1","D1"
"LI3","IN3","SK10","TI2","CO1","WS1","D1"
"LI4","IN4","SK27","TI1","CO1","WS1","D1"
"LI4","IN4","SK28","TI1","CO1","WS1","D1"
"LI4","IN4","SK29","TI1","CO1","WS1","D1"
"LI4","IN4","SK2","TI1","CO1","WS1","D1"
"LI4","IN4","SK11","TI1","CO1","WS1","D1"
"LI4","IN4","SK30","TI1","CO1","WS1","D1"
"LI4","IN4","SK31","TI1","CO1","WS1","D1"
"LI4","IN4","SK21","TI1","CO1","WS1","D1"
"LI4","IN4","SK32","TI1","CO1","WS1","D1"
"LI4","IN4","SK33","TI1","CO1","WS1","D1"
"LI4","IN4","SK10","TI1","CO1","WS1","D1"
"LI5","IN5","SK1","TI3","CO1","WS1","D1"
"LI5","IN5","SK34","TI3","CO1","WS1","D1"
"LI5","IN5","SK35","TI3","CO1","WS1","D1"
"LI5","IN5","SK11","TI3","CO1","WS1","D1"
"LI5","IN5","SK36","TI3","CO1","WS1","D1"
"LI5","IN5","SK37","TI3","CO1","WS1","D1"
"LI5","IN5","SK38","TI3","CO1","WS1","D1"
"LI5","IN5","SK22","TI3","CO1","WS1","D1"
"LI5","IN5","SK39","TI3","CO1","WS1","D1"
"LI5","IN5","SK40","TI3","CO1","WS1","D1"
"LI5","IN5","SK19","TI3","CO1","WS1","D1"
"LI6","IN6","SK27","TI4","CO1","WS1","D1"
"LI6","IN6","SK34","TI4","CO1","WS1","D1"
"LI6","IN6","SK28","TI4","CO1","WS1","D1"
"LI6","IN6","SK35","TI4","CO1","WS1","D1"
"LI7","IN7","SK41","TI1","CO1","WS1","D1"
"LI7","IN7","SK28","TI1","CO1","WS1","D1"
"LI7","IN7","SK2","TI1","CO1","WS1","D1"
"LI7","IN7","SK42","TI1","CO1","WS1","D1"
"LI7","IN7","SK11","TI1","CO1","WS1","D1"
"LI7","IN7","SK43","TI1","CO1","WS1","D1"
"LI7","IN7","SK44","TI1","CO1","WS1","D1"
"LI7","IN7","SK6","TI1","CO1","WS1","D1"
"LI7","IN7","SK45","TI1","CO1","WS1","D1"
"LI7","IN7","SK46","TI1","CO1","WS1","D1"
"LI7","IN7","SK10","TI1","CO1","WS1","D1"
"LI8","IN6","SK1","TI2","CO1","WS1","D1"
"LI8","IN6","SK2","TI2","CO1","WS1","D1"
"LI8","IN6","SK42","TI2","CO1","WS1","D1"
"LI8","IN6","SK47","TI2","CO1","WS1","D1"
"LI8","IN6","SK48","TI2","CO1","WS1","D1"
"LI8","IN6","SK49","TI2","CO1","WS1","D1"
"LI8","IN6","SK6","TI2","CO1","WS1","D1"
"LI8","IN6","SK50","TI2","CO1","WS1","D1"
"LI8","IN6","SK51","TI2","CO1","WS1","D1"
"LI8","IN6","SK10","TI2","CO1","WS1","D1"
"LI9","IN8","SK27","TI1","CO1","WS1","D1"
"LI9","IN8","SK52","TI1","CO1","WS1","D1"
"LI9","IN8","SK53","TI1","CO1","WS1","D1"
"LI9","IN8","SK54","TI1","CO1","WS1","D1"
"LI9","IN8","SK55","TI1","CO1","WS1","D1"
